sim_type,pulse_shape,bin_width_ms,peak_amplitude,peak_amp_relative,overall_amplitude,position,angle,trigger,background_level,sim_det,base_det,analysis_det,num_analysis_det,total_sim,successful_runs,failed_runs,median_mvt_ms,mvt_err_lower,mvt_err_upper,all_median_mvt_ms,all_mvt_err_lower,all_mvt_err_upper,mean_src_counts,mean_bkgd_counts,mean_src_counts_total,mean_src_counts_template,mean_src_counts_feature,mean_bkgd_counts_feature_local,mean_back_avg_cps,MVT_snr,MVT_snr_position,S_flu,S_flu_total,S_flu_template,S_flu_feature_avg,S_flu_feature_local,S16,S32,S64,S128,S16_total,S32_total,S64_total,S128_total,S16_template,S32_template,S64_template,S128_template,S16_feature,S32_feature,S64_feature,S128_feature,sigma,center_time,width,peak_time_ratio,start_time,rise_time,decay_time
function,norris,0.03,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,188,112,58.6515,21.2541,24.3689,70.318,26.4774,89.9099,167.88,752.71,-999,-999,-999,-999,997.89,14.6,-999,6.12,-999,-999,-999,-999,3.53,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.03,0.1
function,norris,0.3,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,3,297,8.837,0.695,0.2326,24.648,18.3396,10.0638,8.67,20.0,-999,-999,-999,-999,851.85,4.85,-999,2.06,-999,-999,-999,-999,2.38,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.003,0.003
function,norris,0.3,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,46,254,17.363,6.1132,5.7364,39.298,24.0151,37.3023,18.63,74.33,-999,-999,-999,-999,992.11,6.87,-999,2.16,-999,-999,-999,-999,2.63,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.003,0.01
function,norris,0.003,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,9,291,7.137,1.7818,1.1184,19.01,11.8138,17.2942,7.33,21.89,-999,-999,-999,-999,938.27,4.84,-999,1.58,-999,-999,-999,-999,1.48,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.003,0.003
function,norris,1.0,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,44,256,20.317,5.7839,4.0283,38.122,20.5656,44.7044,18.59,74.45,-999,-999,-999,-999,993.96,7.24,-999,2.15,-999,-999,-999,-999,2.6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.003,0.01
function,norris,0.01,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,54,246,17.0045,5.1553,6.9859,27.7785,13.433,54.638,18.69,74.59,-999,-999,-999,-999,995.65,6.83,-999,2.16,-999,-999,-999,-999,2.64,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.003,0.01
function,norris,0.03,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,8,292,7.734,1.9169,1.081,25.058,17.3174,20.844,6.75,22.0,-999,-999,-999,-999,939.82,4.9,-999,1.47,-999,-999,-999,-999,1.38,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.003,0.003
function,norris,1.0,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,0,300,-100,0,0,30.916,7.0576,2.1697,6.53,21.13,-999,-999,-999,-999,898.77,-999,-999,1.43,-999,-999,-999,-999,1.34,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.003,0.003
function,norris,0.1,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,53,247,18.254,6.6348,6.5618,37.296,22.0566,50.7495,18.91,74.53,-999,-999,-999,-999,994.64,7.0,-999,2.19,-999,-999,-999,-999,2.64,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.003,0.01
function,norris,0.1,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,9,291,7.525,1.393,1.1006,25.508,17.4746,18.8781,7.11,21.89,-999,-999,-999,-999,934.16,4.87,-999,1.55,-999,-999,-999,-999,1.47,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.003,0.003
function,norris,0.003,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,174,126,41.941,12.6896,15.1199,49.146,15.6899,64.3838,61.65,238.34,-999,-999,-999,-999,995.45,11.62,-999,3.99,-999,-999,-999,-999,3.07,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.03,0.03
function,norris,0.003,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,52,248,16.896,6.5924,7.086,32.279,18.4136,53.4615,19.15,73.9,-999,-999,-999,-999,986.6,6.81,-999,2.22,-999,-999,-999,-999,2.68,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.003,0.01
